0,0.131995611,0.412486283,0,1,1
1,1.724576621,0.77860388,0,1,-1
2,-0.611701136,6.176867901,0,1.226530185,1
3,1.806567821,5.645524439,1,1.146828666,-1
4,2.253336462,4.083352885,1,0.912502933,1
5,-0.847597763,4.702513982,1,1.005377097,-1
83.96350982,0.724554876,2.264233988,1,0.639635098,-1
93.47575947,-1.136258566,2.898383965,1,0.734757595,1
127.0523558,2.421891795,5.136823721,0,1.070523558,1
147.5278768,2.080594705,6.501858454,0,1.275278768,1
191.7244264,3.111727215,9.448295091,0,1.717244264,-1
263.4603634,-1.45642279,0.89735756,1,0.434603634,-1
282.3240791,1.944790177,2.154938608,1,0.623240791,-1
301.8123959,1.105331112,3.454159725,0,0.818123959,1
352.8978793,2.195154759,6.859858621,1,1.328978793,-1
392.6326042,-0.078585555,9.508840282,0,1.726326042,1
469.3458517,-1.393644248,1.289723449,1,0.493458517,-1
502.0306577,1.109987364,3.468710512,0,0.820306577,1
530.1352476,2.454775975,5.342349843,0,1.101352476,1
540.3553255,-0.636209862,6.023688365,0,1.203553255,1
573.7929103,2.92045771,8.252860689,1,1.537929103,-1
